external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
CY-E001,cybersecurity,mcq,cia-triad,easy,What do the three letters of the CIA triad stand for?,,,"Control, Integrity, Access","Confidentiality, Integrity, Availability","Cryptography, Identity, Authorisation","Compliance, Inspection, Auditing",B,"Confidentiality, integrity and availability are the three properties security aims to preserve."
CY-E002,cybersecurity,mcq,cia-triad,easy,A ransomware attack encrypts a company's files so nobody can open them. Which property is most directly harmed?,,,Confidentiality,Integrity,Availability,Non-repudiation,C,"The data still exists and is unmodified, but nobody can use it, which is an availability failure."
CY-E003,cybersecurity,mcq,authentication,easy,What is the difference between authentication and authorisation?,,,Authentication only applies to admins,Authentication proves identity; authorisation decides what that identity may do,They are the same thing,Authorisation happens first,B,"Who are you, then what are you allowed to do. Confusing the two produces broken access control."
CY-E004,cybersecurity,mcq,authentication,easy,Which is an example of two-factor authentication?,,,A username and a password,A password and a security question,A long password,A password plus a code from an authenticator app,D,Two factors must come from different categories: something you know plus something you have.
CY-E005,cybersecurity,mcq,authentication,easy,Why are security questions a weak second factor?,,,They expire too quickly,They are slow to answer,The answers are often public knowledge or guessable,They cannot be typed on mobile,C,A mother's maiden name is not a secret in the age of social media.
CY-E006,cybersecurity,mcq,passwords,easy,Why is password length generally more valuable than adding symbols?,,,Each extra character multiplies the search space more than added complexity rules do,Length is required by law,Longer passwords are easier to remember,Symbols are not supported everywhere,A,"Entropy grows exponentially with length, while forced complexity often produces predictable substitutions."
CY-E007,cybersecurity,mcq,passwords,easy,What is credential stuffing?,,,Storing too many passwords in a manager,Trying username and password pairs leaked from one site against another,Padding a password with symbols,Guessing passwords character by character,B,"It works because people reuse passwords, which is why unique passwords matter more than complex ones."
CY-E008,cybersecurity,mcq,passwords,easy,What is the main benefit of a password manager?,,,It makes passwords shorter,It lets you use a unique strong password everywhere without memorising them,It encrypts your network traffic,It replaces two-factor authentication,B,"Reuse is the dominant real-world failure, and a manager removes the reason for it."
CY-E009,cybersecurity,mcq,malware,easy,What distinguishes a worm from a virus?,,,They are the same,A worm spreads by itself without needing a host file or user action,A worm only affects Linux,A virus spreads over the network,B,Self-propagation is the defining property of a worm.
CY-E010,cybersecurity,mcq,malware,easy,What is a trojan?,,,Malware disguised as legitimate software the user installs willingly,A network scanning tool,A type of firewall,Malware that encrypts files,A,The delivery mechanism is deception rather than exploitation.
CY-E011,cybersecurity,mcq,malware,easy,What does ransomware typically demand?,,,A software licence,Administrative credentials,Payment in exchange for a decryption key,The user's email address,C,"Files are encrypted and the key is held hostage, usually for cryptocurrency."
CY-E012,cybersecurity,mcq,phishing,easy,What is phishing?,,,Tricking someone into revealing credentials or clicking a malicious link,Cracking a password hash,Scanning a network for open ports,Flooding a server with traffic,A,"Phishing targets the person rather than the system, which is why technical controls alone do not stop it."
CY-E013,cybersecurity,mcq,phishing,easy,What is spear phishing?,,,Phishing that uses malware,Phishing targeted at a specific person using personal details,Phishing over the phone,Phishing sent to millions at once,B,Personalisation dramatically raises the success rate compared with bulk campaigns.
CY-E014,cybersecurity,mcq,social-engineering,easy,Why is social engineering often more effective than technical exploitation?,,,Firewalls do not exist,It requires no internet connection,It is cheaper to buy,"It targets people, who cannot be patched",D,"Software gets fixed; human trust, urgency and helpfulness do not."
CY-E015,cybersecurity,mcq,social-engineering,easy,What is tailgating in a physical security context?,,,Watching someone type a password,Calling and pretending to be IT,Copying an access badge,Following an authorised person through a secured door,D,"It exploits politeness, and no badge reader stops it without a policy and culture that does."
CY-E016,cybersecurity,mcq,cryptography,easy,What is the key difference between symmetric and asymmetric encryption?,,,Symmetric cannot be used over networks,Symmetric uses one shared key; asymmetric uses a public and private key pair,Symmetric is always insecure,Asymmetric is faster,B,Symmetric is fast but needs key distribution; asymmetric solves distribution at a performance cost.
CY-E017,cybersecurity,mcq,cryptography,easy,What is hashing used for?,,,Compressing files,Generating random numbers,Producing a fixed-length fingerprint that cannot be reversed,Encrypting data for later decryption,C,A hash verifies integrity or a password without ever storing the original.
CY-E018,cybersecurity,mcq,cryptography,easy,What is the fundamental difference between hashing and encryption?,,,Hashing uses longer keys,They are the same operation,Hashing is faster,Encryption is reversible with a key; hashing is one-way,D,"If you ever need the original value back, you need encryption, not hashing."
CY-E019,cybersecurity,mcq,cryptography,easy,What is a salt in password hashing?,,,An encryption algorithm,A way to shorten the hash,A random value added per password so identical passwords hash differently,A secret key stored separately,C,Salts defeat precomputed rainbow tables and hide the fact that two users share a password.
CY-E020,cybersecurity,mcq,cryptography,easy,What does TLS provide for a connection?,,,Faster transfer,"Encryption, integrity and server authentication",Compression only,Load balancing,B,TLS protects the data in transit and proves the server matches its certificate.
CY-E021,cybersecurity,mcq,network,easy,What does a firewall do?,,,Scans files for malware,Encrypts network traffic,Controls which network traffic is permitted based on rules,Backs up data,C,A firewall filters traffic; it is not an antivirus and does not encrypt anything.
CY-E022,cybersecurity,mcq,network,easy,What is a DDoS attack?,,,Stealing data from a database,Modifying files on a server,Cracking encryption keys,Overwhelming a service with traffic from many sources so legitimate users cannot use it,D,"The goal is denial of availability, not theft."
CY-E023,cybersecurity,mcq,network,easy,What is a VPN primarily used for?,,,Speeding up downloads,Scanning for vulnerabilities,Creating an encrypted tunnel over an untrusted network,Blocking advertisements,C,It protects traffic in transit; it does not make an endpoint secure.
CY-E024,cybersecurity,mcq,network,easy,Which port does HTTPS use by default?,,,80,443,22,3306,B,"80 is HTTP, 22 is SSH and 3306 is MySQL."
CY-E025,cybersecurity,mcq,network,easy,What is a man-in-the-middle attack?,,,A physical break-in,An attacker intercepting and possibly altering traffic between two parties,An insider stealing data,A brute force on a password,B,Both sides believe they are talking directly to each other. TLS with certificate validation is the defence.
CY-E026,cybersecurity,mcq,web,easy,What is SQL injection?,,,Supplying input that changes the structure of a SQL query,Encrypting a database,Backing up a database,Inserting rows into a database,A,"When input is concatenated into a query, the attacker's data becomes executable code."
CY-E027,cybersecurity,mcq,web,easy,What is the primary defence against SQL injection?,,,Parameterised queries that separate code from data,Encrypting the database,Input length limits,Web application firewalls,A,A WAF is defence in depth; parameterisation removes the vulnerability itself.
CY-E028,cybersecurity,mcq,web,easy,What does stored XSS mean?,,,The script is in a cookie,The script is saved on the server and served to every visitor,The script only runs once,The script is stored in the URL,B,Stored XSS is more dangerous than reflected because no per-victim delivery is needed.
CY-E029,cybersecurity,mcq,web,easy,What is the main defence against XSS when rendering user content?,,,Rate limiting,Contextual output encoding or sanitisation,Input length limits,HTTPS,B,"Escaping at the point of output, in the correct context, is what prevents data being read as markup."
CY-E030,cybersecurity,mcq,access-control,easy,What does the principle of least privilege mean?,,,Rotate credentials weekly,Give every user admin rights for convenience,Grant only the minimum access needed to do the job,Deny all access by default forever,C,Least privilege bounds the damage from any compromised account.
CY-E031,cybersecurity,mcq,access-control,easy,What is role-based access control?,,,"Permissions assigned to roles, and roles assigned to users",Permissions assigned directly to each user,Access based on IP address,Access based on time of day,A,RBAC scales because permissions are managed per role rather than per person.
CY-E032,cybersecurity,mcq,access-control,easy,Why should a service account not use a human user's credentials?,,,It is slower,Services cannot use passwords,Humans forget passwords,Actions become unattributable and the account survives the person leaving,D,Shared credentials destroy accountability and create orphaned access.
CY-E033,cybersecurity,mcq,incident-response,easy,What is the first priority when a live breach is detected?,,,Contain the incident to stop further damage,Notify the press,Delete the affected systems,Identify the attacker,A,Containment comes before eradication and recovery; attribution is rarely urgent.
CY-E034,cybersecurity,mcq,incident-response,easy,Why should you avoid immediately wiping a compromised machine?,,,It voids the warranty,It takes too long,You destroy forensic evidence needed to understand the breach,Wiping is never effective,C,Without evidence you cannot tell what was taken or whether the attacker still has access elsewhere.
CY-E035,cybersecurity,mcq,backups,easy,What does the 3-2-1 backup rule recommend?,,,Two backups every day,Three backups on two media with one offsite,Three passwords and two factors,Three servers in one datacentre,B,"Diversity of media and location is what survives fire, theft and ransomware."
CY-E036,cybersecurity,mcq,backups,easy,Why must backups be tested by restoring them?,,,To compress them,Testing is not necessary,To free disk space,An untested backup is only an assumption that you have a backup,D,Silent backup failure is common and only discovered when it is too late to matter.
CY-E037,cybersecurity,mcq,backups,easy,Why should some backups be kept offline or immutable?,,,It is required for compression,To reduce cost,"Ransomware encrypts every writable location it can reach, including network backups",Offline backups are faster,C,Modern ransomware deliberately targets backups first.
CY-E038,cybersecurity,mcq,patching,easy,Why is prompt patching important?,,,It improves battery life,It adds new features,Exploits for disclosed vulnerabilities appear quickly after a patch is published,It reduces disk usage,C,"Publishing a patch also publishes the existence of the flaw, which attackers reverse-engineer."
CY-E039,cybersecurity,mcq,vulnerabilities,easy,What is a zero-day vulnerability?,,,A flaw with no patch available at the time it is exploited,A flaw that takes zero days to fix,A flaw in old software only,A flaw discovered by the vendor,A,"The defender has had zero days to prepare, which is what makes it dangerous."
CY-E040,cybersecurity,mcq,vulnerabilities,easy,What does CVE stand for in vulnerability tracking?,,,Critical Vulnerability Exploit,Common Vulnerabilities and Exposures,Certified Version Evaluation,Central Vulnerability Engine,B,A CVE id gives everyone a shared identifier for one specific flaw.
CY-E041,cybersecurity,mcq,vulnerabilities,easy,What does a CVSS score express?,,,The cost of remediation,A standardised severity rating for a vulnerability,The number of affected systems,The likelihood of being attacked,B,"CVSS rates severity, which is related to but not the same as risk in your environment."
CY-E042,cybersecurity,mcq,data-protection,easy,What does encryption at rest protect against?,,,SQL injection,Phishing,Someone reading the data from stolen disks or backups,Traffic interception on the network,C,At rest and in transit protect different stages; both are needed.
CY-E043,cybersecurity,mcq,data-protection,easy,What is data minimisation?,,,Collecting and keeping only the data you actually need,Deleting all logs,Storing data in one place,Compressing stored data,A,"Data you never collected cannot be breached, and it is a core privacy principle."
CY-E044,cybersecurity,mcq,data-protection,easy,Why is it risky to log full request bodies in a payment system?,,,Card numbers and personal data end up in a system with weaker access controls,Logging slows the request,Logs cannot store JSON,Logs become large,A,"Sensitive data leaks into logs, backups and monitoring tools that were never designed to protect it."
CY-E045,cybersecurity,mcq,secure-development,easy,What does input validation protect against?,,,Slow queries,Malformed or malicious data reaching application logic,Network outages,Disk failure,B,Validation at trust boundaries is the first line of defence against injection and logic abuse.
CY-E046,cybersecurity,mcq,secure-development,easy,Why should validation happen on the server even if the client already validates?,,,An attacker controls the client entirely and can send any request,Clients cannot validate numbers,Client code is slower,Server validation is required by browsers,A,"Client validation is a user experience feature, not a security control."
CY-E047,cybersecurity,mcq,secure-development,easy,What is a secret in application configuration?,,,A comment in the code,A feature flag,Any configuration value,A credential such as an API key or database password,D,"Secrets need different handling from ordinary config: restricted access, rotation and no source control."
CY-E048,cybersecurity,mcq,secure-development,easy,Why should API keys never be committed to a git repository?,,,"History is permanent and often public, so the key is exposed even after deletion",Git cannot store long strings,They break the build,They make the repository larger,A,Removing the file does not remove it from history; the key must be rotated.
CY-E049,cybersecurity,mcq,monitoring,easy,What is the purpose of an audit log?,,,"Recording who did what and when, for investigation and accountability",Storing user preferences,Caching queries,Improving performance,A,"Without a tamper-resistant record, you cannot reconstruct an incident."
CY-E050,cybersecurity,mcq,monitoring,easy,Why should audit logs be written somewhere the application cannot modify?,,,An attacker who compromises the application would otherwise erase their tracks,It is faster,Logs must be sorted,To save disk space,A,Append-only or externally shipped logs survive the compromise of the system they record.
