external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
FS-E001,full-stack,mcq,http,easy,Which HTTP status code means the request succeeded but there is no content to return?,,,200,204,301,404,B,204 No Content is used when the action succeeded and the response body is deliberately empty.
FS-E002,full-stack,mcq,http,easy,What does a 401 status code indicate?,,,The server crashed,The resource was moved,Authentication is required or failed,The request was malformed,C,401 Unauthorized means the caller has not proven who they are. 403 means they are known but not permitted.
FS-E003,full-stack,mcq,http,easy,What is the difference between 401 and 403?,,,401 is for GET and 403 is for POST,403 means the server is down,401 means not authenticated; 403 means authenticated but not allowed,They are interchangeable,C,"401 is about identity, 403 is about permission. The distinction matters for what the client should do next."
FS-E004,full-stack,mcq,http,easy,Which HTTP method is expected to be idempotent?,,,CONNECT,POST,PATCH,PUT,D,Sending the same PUT repeatedly leaves the resource in the same state. POST creates something new each time.
FS-E005,full-stack,mcq,http,easy,What does a 500 status code mean?,,,The request needs authentication,The server hit an unexpected error,The client sent bad data,The resource does not exist,B,5xx codes are server-side failures. 4xx codes blame the request.
FS-E006,full-stack,mcq,rest,easy,"In REST, which method should retrieve a resource without changing it?",,,PUT,DELETE,GET,POST,C,"GET is defined as safe: it must not modify server state, which is why responses can be cached."
FS-E007,full-stack,mcq,rest,easy,Why should GET requests never change server state?,,,They are slower than POST,They cannot carry parameters,They are always encrypted,They are cached and can be retried or prefetched by browsers and proxies,D,Anything that prefetches or retries a GET would trigger the side effect unintentionally.
FS-E008,full-stack,mcq,javascript,easy,What is the difference between == and === in JavaScript?,,,=== compares without type coercion,=== compares only numbers,== is invalid syntax,There is no difference,A,"== coerces types before comparing, so '1' == 1 is true while '1' === 1 is false."
FS-E009,full-stack,code_output,javascript,easy,What does this print?,console.log(typeof null),javascript,"""null""","""object""","""undefined""","""number""",B,"typeof null returns ""object"", a long-standing quirk of the language kept for backwards compatibility."
FS-E010,full-stack,code_output,javascript,easy,What does this print?,"console.log([1, 2, 3] + [4])",javascript,It throws a TypeError,"[1,2,3,4]",10,"""1,2,34""",D,"The + operator converts both arrays to strings first, giving ""1,2,3"" + ""4""."
FS-E011,full-stack,mcq,javascript,easy,What does const prevent in JavaScript?,,,"Reassigning the binding, though object contents can still change",Any change to the value or its properties,Using the variable in a function,Hoisting the declaration,A,"const freezes the binding, not the object. You can still push to a const array."
FS-E012,full-stack,mcq,javascript,easy,What is the scope of a variable declared with let inside an if block?,,,The whole function,The whole module,Only that block,Global,C,"let and const are block scoped, unlike var which is function scoped."
FS-E013,full-stack,code_output,javascript,easy,What does this print?,"const a = [1, 2, 3]\nconst b = a\nb.push(4)\nconsole.log(a.length)",javascript,undefined,3,4,It throws because a is const,C,"b references the same array, so pushing through b is visible through a. const only blocks reassignment."
FS-E014,full-stack,mcq,css,easy,What does display: flex do to an element's direct children?,,,Lays them out along a main axis,Stacks them in a grid,Hides them,Makes them absolutely positioned,A,Flexbox arranges children in a single row or column with control over alignment and distribution.
FS-E015,full-stack,mcq,css,easy,Which CSS property controls the space inside an element's border?,,,margin,padding,gap,outline,B,Padding is inside the border; margin is outside it.
FS-E016,full-stack,mcq,css,easy,"In the CSS box model, which order is correct from innermost outward?",,,"content, padding, border, margin","margin, border, padding, content","content, margin, border, padding","padding, content, margin, border",A,"Content sits inside padding, padding inside the border, and margin is the space outside the border."
FS-E017,full-stack,mcq,css,easy,Which selector has the highest specificity?,,,A class selector like .card,An ID selector like #header,A universal selector,A type selector like div,B,"Specificity ranks IDs above classes, and classes above element selectors."
FS-E018,full-stack,mcq,html,easy,Why use a button element instead of a div with a click handler?,,,It cannot be styled,It is keyboard focusable and announced correctly by screen readers,It is shorter to type,It renders faster,B,"Native buttons come with focus, Enter and Space activation, and the right accessibility role for free."
FS-E019,full-stack,mcq,html,easy,What does the alt attribute on an image provide?,,,A fallback image URL,A tooltip on hover,A text alternative for screen readers and when the image fails to load,The image caption below it,C,alt text is read aloud by assistive technology and shown if the image cannot be displayed.
FS-E020,full-stack,mcq,html,easy,What is the purpose of a label element associated with an input?,,,It styles the input,It validates the input,It names the field for assistive technology and makes the text clickable,It sets the input's default value,C,"A properly associated label is what screen readers announce, and clicking it focuses the field."
FS-E021,full-stack,mcq,sql,easy,Which SQL clause filters rows before grouping?,,,ORDER BY,WHERE,LIMIT,HAVING,B,WHERE filters individual rows; HAVING filters groups after aggregation.
FS-E022,full-stack,mcq,sql,easy,What does an INNER JOIN return?,,,Only rows with a match in both tables,All rows from the left table,All rows from both tables,Rows with no match in either table,A,Rows without a matching counterpart are excluded entirely.
FS-E023,full-stack,mcq,sql,easy,What does a LEFT JOIN return that an INNER JOIN does not?,,,Rows sorted by the join key,Duplicate rows,Rows from the left table with no match on the right,Only aggregated results,C,Unmatched left rows appear with NULLs in the right table's columns.
FS-E024,full-stack,mcq,sql,easy,What is a primary key?,,,A column that uniquely identifies each row,The first column in a table,A column that must be indexed for speed,A column referencing another table,A,"A primary key is unique and not null, and identifies exactly one row."
FS-E025,full-stack,mcq,sql,easy,What does a foreign key enforce?,,,That the column is indexed,That the column cannot be null,That values exist in the referenced table,That the column is unique,C,Referential integrity: you cannot reference a row that does not exist.
FS-E026,full-stack,code_output,sql,easy,How many rows does this return if orders has 10 rows and 3 have status 'paid'?,SELECT COUNT(*) FROM orders WHERE status = 'paid',sql,1,0,10,3,A,COUNT(*) with no GROUP BY returns a single row containing the number 3.
FS-E027,full-stack,mcq,sql,easy,Why is NULL not equal to NULL in SQL?,,,It is equal in most databases,It is a syntax error,"NULL means unknown, and two unknowns cannot be proven equal",NULL equals only zero,C,"Comparisons with NULL yield unknown, which is why IS NULL exists."
FS-E028,full-stack,mcq,react,easy,What does useState return?,,,A single value,A function only,The current value and a setter function,A promise,C,useState returns a pair: the state value and the function that updates it.
FS-E029,full-stack,mcq,react,easy,Why does React need a key prop on list items?,,,To make items clickable,To style each item,To identify which items changed so it can update efficiently,To sort the list,C,Stable keys let React match previous and next elements instead of rebuilding the whole list.
FS-E030,full-stack,mcq,react,easy,Why is using an array index as a React key risky?,,,"If the list reorders, state attaches to the wrong item",Indexes are strings,It slows down rendering,Indexes cannot be numbers,A,"The index identifies a position, not an item, so reordering makes React reuse the wrong component state."
FS-E031,full-stack,mcq,react,easy,What does the dependency array of useEffect control?,,,Which component owns the effect,The return value of the effect,The order of effects,When the effect re-runs,D,The effect re-runs whenever a value in the dependency array changes between renders.
FS-E032,full-stack,mcq,react,easy,What happens if you call a state setter during render?,,,The state updates silently,It can cause an infinite render loop,It throws a syntax error,Nothing,B,"Setting state triggers a re-render, which sets state again, and so on."
FS-E033,full-stack,mcq,node,easy,What does it mean that Node.js is single-threaded for JavaScript execution?,,,It cannot use more than one CPU core ever,It blocks on every request,It can only handle one connection at a time,One thread runs your JS while I/O happens asynchronously elsewhere,D,"The event loop runs JS on one thread; I/O is delegated, so blocking that thread blocks everything."
FS-E034,full-stack,mcq,node,easy,Why is a long synchronous loop in a Node request handler a problem?,,,It uses too much memory,It cannot access the database,It blocks the event loop so all other requests stall,It causes a syntax error,C,"With one JS thread, CPU-bound work starves every other pending request."
FS-E035,full-stack,mcq,async,easy,What does await do inside an async function?,,,Blocks the whole process,Converts a promise to a callback,Runs the promise on a new thread,Pauses that function until the promise settles,D,await suspends only the async function; the event loop keeps serving other work.
FS-E036,full-stack,code_output,javascript,easy,What order do these log in?,"console.log('a')\nsetTimeout(() => console.log('b'), 0)\nPromise.resolve().then(() => console.log('c'))\nconsole.log('d')",javascript,a d c b,a d b c,a c d b,a b c d,A,"Synchronous logs first, then microtasks (promises), then macrotasks (timers)."
FS-E037,full-stack,mcq,async,easy,What does Promise.all do if one promise rejects?,,,Waits for all the others anyway,Returns partial results,Rejects immediately with that error,Retries the failed promise,C,Promise.all is fail-fast. Promise.allSettled waits for every outcome instead.
FS-E038,full-stack,mcq,git,easy,What does git merge do?,,,Rewrites all commit hashes,Combines another branch's history into the current one,Deletes the other branch,Copies files without history,B,"It creates a commit joining the two histories, or fast-forwards when possible."
FS-E039,full-stack,mcq,security,easy,What is the main risk of building SQL by concatenating user input?,,,Larger log files,SQL injection,Character encoding errors,Slower queries,B,User input becomes executable SQL. Parameterised queries keep data and code separate.
FS-E040,full-stack,mcq,security,easy,What does XSS stand for and what does it involve?,,,XML schema signing; a validation step,Extended style sheets; a CSS feature,Cross-site scripting; injecting script that runs in another user's browser,Cross-server sync; a replication method,C,Untrusted input rendered as HTML lets an attacker run JavaScript in a victim's session.
FS-E041,full-stack,mcq,security,easy,Why should passwords be hashed rather than encrypted in a database?,,,Hashing is faster,Hashes take less space,Encryption is not available in most databases,"Hashing is one-way, so a breach does not reveal the passwords",D,"Encryption implies a key that can decrypt. A password never needs to be recovered, only verified."
FS-E042,full-stack,mcq,security,easy,What does HTTPS provide over HTTP?,,,Automatic caching,Smaller response sizes,Faster page loads,Encryption and server identity verification,D,TLS encrypts the connection and proves the server is who the certificate says.
FS-E043,full-stack,mcq,api,easy,What is CORS?,,,A browser rule controlling which origins may read a response,A database index type,A caching strategy,A compression algorithm,A,The browser blocks cross-origin reads unless the server opts in with the right headers.
FS-E044,full-stack,mcq,api,easy,What is JSON?,,,A database engine,A network protocol,A programming language,A text format for structured data,D,JSON is a lightweight data interchange format based on JavaScript object syntax.
FS-E045,full-stack,mcq,api,easy,What does pagination solve in an API?,,,Returning huge result sets in one response,Authenticating users,Validating input,Compressing responses,A,Splitting results into pages bounds memory and response time for both server and client.
FS-E046,full-stack,mcq,typescript,easy,What does TypeScript add to JavaScript?,,,A different runtime,Static type checking at compile time,Automatic performance optimisation,Built-in database access,B,Types are checked during compilation and erased before the code runs.
FS-E047,full-stack,mcq,typescript,easy,What is the any type in TypeScript?,,,A type only for arrays,A runtime type checker,A type that disables checking for that value,The union of all primitive types,C,"any opts out of the type system, which defeats the point wherever it spreads."
FS-E048,full-stack,mcq,caching,easy,What does a cache hit mean?,,,The cache is full,The cache expired,The cache was cleared,The requested data was found in the cache,D,A hit means the value was served from cache without going to the origin.
FS-E049,full-stack,mcq,caching,easy,What is cache invalidation?,,,Measuring cache size,Removing or refreshing entries that are no longer correct,Encrypting cache entries,Compressing the cache,B,Knowing when cached data has gone stale is the genuinely hard part of caching.
FS-E050,full-stack,mcq,http,easy,What is the purpose of the Content-Type header?,,,It identifies the sender,It sets the response size,It controls caching,It tells the recipient how to interpret the body,D,Content-Type declares the media type so the client parses the body correctly.
FS-E051,full-stack,mcq,cookies,easy,What does the HttpOnly flag on a cookie do?,,,Encrypts the cookie,Prevents JavaScript from reading it,Sends it only over HTTPS,Limits it to one page,B,HttpOnly keeps a stolen-script attack from reading the cookie. Secure is the HTTPS-only flag.
FS-E052,full-stack,mcq,cookies,easy,What does the Secure flag on a cookie do?,,,Sends it only over encrypted connections,Prevents it from expiring,Hashes the cookie value,Makes it readable only by the server code,A,Secure stops the cookie being sent over plain HTTP where it could be intercepted.
FS-E053,full-stack,mcq,databases,easy,What does an index on a database column improve?,,,Data integrity,Write speed,Storage usage,Lookup speed for queries filtering on that column,D,An index trades extra storage and slower writes for much faster reads on that column.
FS-E054,full-stack,mcq,databases,easy,Why does adding many indexes to a table slow down writes?,,,Every insert or update must also update each index,Indexes lock the table permanently,Indexes duplicate all the data,Writes bypass indexes entirely,A,Each index is another structure the database must keep in sync on every write.
