external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
CD-E001,cloud-devops,mcq,containers,easy,What does a container image contain?,,,A database snapshot,"The application plus its dependencies and filesystem, but not a full operating system kernel",A complete virtual machine including a kernel,Only the application source code,B,"Containers share the host kernel, which is why they start in milliseconds rather than seconds."
CD-E002,cloud-devops,mcq,containers,easy,What is the main difference between a container and a virtual machine?,,,A VM virtualises hardware and runs its own kernel; a container shares the host kernel,Containers are always larger,VMs cannot run Linux,There is no difference,A,The shared kernel is what makes containers lighter and less isolated than VMs.
CD-E003,cloud-devops,mcq,containers,easy,What does docker build do?,,,Pushes an image to a registry,Removes unused images,Creates an image from a Dockerfile,Starts a container,C,docker run starts a container from an image; build produces the image.
CD-E004,cloud-devops,mcq,containers,easy,What is a container registry?,,,A storage service for container images,A running container,A network configuration,A log aggregator,A,"Docker Hub, ECR and GHCR are examples."
CD-E005,cloud-devops,mcq,containers,easy,Why should a container be stateless where possible?,,,It uses less memory,Containers cannot store data,It can be destroyed and recreated freely without losing data,It runs faster,C,Persistent data belongs in a volume or an external service.
CD-E006,cloud-devops,mcq,ci-cd,easy,What does continuous integration mean?,,,Merging and automatically testing code changes frequently,Deploying to production continuously,Writing integration tests only,Running the app continuously,A,Continuous deployment is the separate practice of shipping every passing build.
CD-E007,cloud-devops,mcq,ci-cd,easy,What is the primary purpose of a CI pipeline?,,,Formatting code,Catching problems automatically before code reaches production,Deploying faster,Reducing the number of commits,B,"The value is fast, consistent feedback on every change."
CD-E008,cloud-devops,mcq,ci-cd,easy,What is a build artefact?,,,The source code,The test report,The pipeline definition,The packaged output of a build that gets deployed,D,Building once and promoting the same artefact through environments avoids environment-specific surprises.
CD-E009,cloud-devops,mcq,ci-cd,easy,Why should the same artefact be promoted through staging to production rather than rebuilt?,,,Artefacts expire,It saves storage,"A rebuild may differ, so what you tested is not what you ship",Rebuilding is slower,C,"Build once, deploy many is the principle."
CD-E010,cloud-devops,mcq,deployment,easy,What is a blue-green deployment?,,,Testing in production only,Deploying twice daily,Running two environments and switching traffic from the old to the new,Deploying in two stages,C,"Rollback is a traffic switch back, which makes it fast and low risk."
CD-E011,cloud-devops,mcq,deployment,easy,What is a canary deployment?,,,Releasing to a small share of traffic first and watching before going wider,Deploying only at night,Deploying to a test environment,Deploying without tests,A,It limits blast radius by exposing the change to few users first.
