external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
CMB-E001,combined,mcq,general awareness,easy,Which is the longest river in Africa?,,,The Nile,The Congo,The Niger,The Orange,A,"The Nile runs roughly 6,650 km through north-east Africa to the Mediterranean."
CMB-E002,combined,mcq,general awareness,easy,How many continents are there on Earth?,,,Five,Seven,Six,Eight,B,"Asia, Africa, North America, South America, Antarctica, Europe and Australia."
CMB-E003,combined,mcq,general awareness,easy,What is the national bird of India?,,,The parrot,The eagle,The peacock,The swan,C,The Indian peafowl was designated the national bird in 1963.
CMB-E004,combined,mcq,general awareness,easy,What is the capital city of France?,,,Lyon,Marseille,Nice,Paris,D,Paris has been the French capital since the tenth century.
CMB-E005,combined,mcq,general awareness,easy,Which ocean lies between Africa and Australia?,,,The Indian Ocean,The Atlantic Ocean,The Pacific Ocean,The Southern Ocean,A,"The Indian Ocean is bounded by Africa to the west, Asia to the north and Australia to the east."
CMB-E006,combined,mcq,mathematics,easy,What is 25% of 80?,,,16,20,25,40,B,"25% is one quarter, so 80 ÷ 4 = 20."
CMB-E007,combined,mcq,mathematics,easy,What is 9 multiplied by 6?,,,45,56,54,63,C,9 x 6 = 54.
CMB-E008,combined,mcq,mathematics,easy,What is the square root of 81?,,,7,8,18,9,D,"9 x 9 = 81, so the square root is 9."
CMB-E009,combined,mcq,mathematics,easy,How many minutes are there in 3 hours?,,,180,120,150,300,A,"Each hour has 60 minutes, so 3 x 60 = 180."
CMB-E010,combined,mcq,science,easy,At what temperature does water boil at sea level?,,,0 degrees Celsius,100 degrees Celsius,50 degrees Celsius,212 degrees Celsius,B,"Water boils at 100 degrees Celsius, which is 212 degrees Fahrenheit."
CMB-E011,combined,mcq,science,easy,Which vitamin does the body make when skin is exposed to sunlight?,,,Vitamin A,Vitamin B12,Vitamin D,Vitamin C,C,"Ultraviolet B light triggers vitamin D synthesis in the skin, which supports bone health."
