external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
AIML-E001,ai-ml,mcq,supervised-learning,easy,A model is trained on emails labelled 'spam' or 'not spam'. What kind of learning is this?,,,Supervised classification,Unsupervised clustering,Reinforcement learning,Dimensionality reduction,A,Labelled inputs with discrete target categories is the definition of supervised classification.
AIML-E002,ai-ml,mcq,supervised-learning,easy,You want to predict a house price in rupees from its features. Which output type does this call for?,,,Regression,Binary classification,Multi-class classification,Clustering,A,"The target is a continuous numeric value, so this is regression rather than classification."
AIML-E003,ai-ml,mcq,overfitting,easy,A model scores 99% on training data and 62% on unseen data. What is happening?,,,Overfitting,Underfitting,Data leakage into the test set,The model is well generalised,A,A large gap where training far exceeds validation is the signature of overfitting: the model memorised rather than generalised.
AIML-E004,ai-ml,mcq,overfitting,easy,A model scores 58% on training data and 57% on validation data. What is the most likely problem?,,,Underfitting,Overfitting,Too much regularisation of the test set,Nothing is wrong,A,Poor performance on both sets means the model is too simple to capture the pattern at all.
AIML-E005,ai-ml,mcq,evaluation,easy,What does accuracy measure?,,,The fraction of all predictions that were correct,The fraction of positive predictions that were correct,The fraction of actual positives that were found,The average prediction error,A,Accuracy is correct predictions divided by total predictions. Precision and recall are the other two options described.
AIML-E006,ai-ml,mcq,evaluation,easy,"In a dataset where 99% of transactions are legitimate, a model predicts 'legitimate' every time. What is its accuracy?",,,99%,50%,1%,It cannot be determined,A,It is right on all 99% legitimate cases. This is exactly why accuracy is a misleading metric on imbalanced data.
AIML-E007,ai-ml,mcq,evaluation,easy,What is precision?,,,"Of the items predicted positive, how many actually were","Of the actual positives, how many were found",The fraction of all predictions that were correct,The spread of the model's errors,A,Precision is TP / (TP + FP): it asks how trustworthy a positive prediction is.
AIML-E008,ai-ml,mcq,evaluation,easy,What is recall?,,,"Of the actual positives, how many the model found","Of the predicted positives, how many were right",The total error across the dataset,How fast the model runs at inference,A,Recall is TP / (TP + FN): it asks how much of the real positive population was caught.
AIML-E009,ai-ml,mcq,data-splitting,easy,Why is a dataset split into training and test sets?,,,To estimate how the model performs on data it has never seen,To make training run faster,To reduce the size of the dataset,To balance the class distribution,A,"Evaluating on data used for training tells you about memorisation, not about generalisation."
AIML-E010,ai-ml,mcq,data-splitting,easy,What is a validation set used for?,,,Tuning hyperparameters without touching the test set,Training the final model weights,Reporting the final published accuracy,Storing the raw unlabelled data,A,The validation set guides choices during development so the test set stays a genuinely unseen final check.
AIML-E011,ai-ml,mcq,neural-networks,easy,What does an activation function add to a neural network?,,,"Non-linearity, so stacked layers can model complex relationships",Faster matrix multiplication,Automatic feature labelling,Guaranteed convergence,A,"Without a non-linear activation, any stack of linear layers collapses into a single linear transformation."
AIML-E012,ai-ml,mcq,neural-networks,easy,What does ReLU do to its input?,,,Returns the input if positive and zero otherwise,Squashes the input to between 0 and 1,Squashes the input to between -1 and 1,Normalises the input to zero mean,A,"ReLU is max(0, x). Sigmoid gives 0 to 1 and tanh gives -1 to 1."
AIML-E013,ai-ml,mcq,neural-networks,easy,"In a neural network, what is an epoch?",,,One full pass over the entire training dataset,One update of the weights,One layer of the network,One sample from the training set,A,An epoch is a complete pass through all training data; a single weight update is a step or iteration.
AIML-E014,ai-ml,mcq,optimisation,easy,What does gradient descent do?,,,Adjusts parameters in the direction that reduces the loss,Selects which features to keep,Splits the data into batches,Chooses the number of layers,A,It follows the negative gradient of the loss with respect to the parameters to find lower loss.
AIML-E015,ai-ml,mcq,optimisation,easy,What happens if the learning rate is far too large?,,,Training diverges or oscillates instead of converging,Training becomes slow but stable,The model always underfits,Nothing changes,A,"Oversized steps overshoot the minimum repeatedly, so the loss bounces or blows up."
AIML-E016,ai-ml,mcq,optimisation,easy,What happens if the learning rate is far too small?,,,Training converges very slowly and may stall in a poor region,Training diverges immediately,The model cannot be evaluated,The loss becomes negative,A,Tiny steps make progress crawl and can leave the model stuck long before it reaches a good solution.
AIML-E017,ai-ml,mcq,unsupervised-learning,easy,Which task is unsupervised?,,,Grouping customers into segments with no predefined labels,Predicting tomorrow's temperature from historical labelled data,Classifying X-rays as normal or abnormal using radiologist labels,Predicting salary from years of experience,A,"Only the first works without target labels, which is what makes it unsupervised."
AIML-E018,ai-ml,mcq,unsupervised-learning,easy,What does k-means require you to choose in advance?,,,The number of clusters k,The labels for each cluster,The maximum distance between points,The number of features,A,"k-means needs k up front, which is why techniques like the elbow method exist to help pick it."
AIML-E019,ai-ml,mcq,feature-engineering,easy,Why are numeric features often scaled before training?,,,So features with large ranges do not dominate distance and gradient calculations,To remove missing values,To convert them into categories,To increase the number of samples,A,"Algorithms based on distance or gradients are sensitive to feature magnitude, so unscaled large-range features dominate."
AIML-E020,ai-ml,mcq,feature-engineering,easy,What is one-hot encoding used for?,,,Turning a categorical variable into binary indicator columns,Scaling numeric features to zero mean,Reducing the number of rows,Filling in missing values,A,It creates one binary column per category so models do not read a false numeric ordering into category codes.
AIML-E021,ai-ml,mcq,feature-engineering,easy,"Why is assigning red=1, green=2, blue=3 usually a poor encoding for a model?",,,It implies an order and spacing between colours that does not exist,It uses too much memory,It cannot be stored in a dataframe,It always causes overfitting,A,"Numeric codes imply blue is greater than red and that green sits midway, which is meaningless for colours."
AIML-E022,ai-ml,mcq,regularisation,easy,What is the purpose of regularisation?,,,To discourage overly complex models and improve generalisation,To speed up training,To increase training accuracy as much as possible,To clean the input data,A,"Regularisation penalises complexity, trading a little training fit for better performance on unseen data."
AIML-E023,ai-ml,mcq,regularisation,easy,What does dropout do during training?,,,Randomly deactivates a fraction of neurons each step,Removes outlier rows from the dataset,Deletes unused layers from the network,Stops training when loss plateaus,A,"Randomly dropping units stops the network relying on any single neuron, which reduces overfitting."
AIML-E024,ai-ml,mcq,overfitting,easy,What is early stopping?,,,Halting training when validation performance stops improving,Stopping when training accuracy reaches 100%,Reducing the dataset size before training,Skipping the validation step to save time,A,"It uses the validation curve to stop at the point of best generalisation, before overfitting sets in."
AIML-E025,ai-ml,mcq,decision-trees,easy,What does a decision tree do at each internal node?,,,Splits the data on a feature threshold,Averages the predictions of its children,Applies an activation function,Randomly samples the training data,A,Each internal node tests a feature against a threshold and routes samples down one branch or the other.
AIML-E026,ai-ml,mcq,decision-trees,easy,Why is a very deep unpruned decision tree prone to overfitting?,,,It can carve out a branch for nearly every individual training example,It uses too few features,It cannot represent non-linear boundaries,It always underestimates the target,A,Unlimited depth lets the tree memorise individual samples rather than learn general rules.
AIML-E027,ai-ml,mcq,ensembles,easy,What is a random forest?,,,An ensemble of decision trees whose predictions are combined,A single very deep decision tree,A neural network with tree-shaped layers,A clustering algorithm,A,It aggregates many trees trained on bootstrapped samples and random feature subsets to reduce variance.
AIML-E028,ai-ml,mcq,ensembles,easy,Why does averaging many models often beat using one?,,,"Their individual errors partly cancel, reducing variance",It makes training faster,It guarantees zero bias,It removes the need for a test set,A,"If errors are not perfectly correlated, averaging cancels some of them and stabilises the prediction."
AIML-E029,ai-ml,mcq,nlp,easy,What is tokenisation in NLP?,,,Splitting text into smaller units such as words or subwords,Translating text into another language,Removing all punctuation from text,Converting text to lowercase,A,Tokenisation breaks a string into the discrete units a model actually consumes.
AIML-E030,ai-ml,mcq,nlp,easy,What does a word embedding give you?,,,A dense vector where similar words sit close together,A unique integer id for each word,The dictionary definition of a word,The frequency of a word in the corpus,A,Embeddings map words into a continuous space where geometric closeness reflects semantic similarity.
AIML-E031,ai-ml,mcq,computer-vision,easy,What is a convolutional layer particularly good at?,,,Detecting local spatial patterns regardless of where they appear,Sorting pixels by brightness,Compressing images without loss,Guaranteeing rotation invariance,A,"Shared filters slide across the image, so a pattern is detected wherever it occurs."
AIML-E032,ai-ml,mcq,computer-vision,easy,What does a pooling layer typically do?,,,Reduces the spatial size of the feature map,Increases the number of channels,Adds non-linearity to the network,Normalises pixel values,A,"Pooling downsamples, cutting computation and giving a little translation tolerance."
AIML-E033,ai-ml,mcq,evaluation,easy,What is a confusion matrix?,,,A table of predicted versus actual classes,A plot of loss over training epochs,A ranking of feature importances,A matrix of feature correlations,A,"It lays out true positives, false positives, true negatives and false negatives in one table."
AIML-E034,ai-ml,mcq,evaluation,easy,What does the F1 score combine?,,,Precision and recall,Accuracy and loss,Bias and variance,Training and validation error,A,"F1 is the harmonic mean of precision and recall, so it is only high when both are."
AIML-E035,ai-ml,mcq,data-quality,easy,A column in your training data is missing for 40% of rows. Which is the most responsible first step?,,,Investigate why it is missing before deciding how to handle it,Delete the column immediately,Fill every gap with zero,Fill every gap with the column mean,A,Whether values are missing at random or for a systematic reason changes which handling is valid; the mechanism comes first.
AIML-E036,ai-ml,mcq,bias,easy,A hiring model trained on ten years of past hiring decisions reproduces historical under-hiring of a group. What is the cause?,,,The training labels encode the historical bias,The model has too few layers,The learning rate was too high,The test set was too small,A,A model learns the pattern in its labels; biased historical decisions become biased predictions.
