external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
DS-E001,data-science,mcq,statistics,easy,What does the mean of a dataset represent?,,,The range of values,The middle value when sorted,The sum of values divided by the count,The most frequent value,C,The median is the middle value and the mode is the most frequent.
DS-E002,data-science,mcq,statistics,easy,Why is the median often preferred over the mean for reporting income?,,,It is robust to extreme high values that drag the mean upward,It requires fewer data points,It is easier to compute,It is always larger,A,A few very high incomes distort the mean but barely move the median.
DS-E003,data-science,mcq,statistics,easy,What does standard deviation measure?,,,The number of outliers,The correlation between two variables,How spread out values are around the mean,The middle value,C,A small standard deviation means values cluster tightly around the mean.
DS-E004,data-science,mcq,statistics,easy,"What is the mode of the dataset 3, 7, 7, 2, 9?",,,9,3,5.6,7,D,"The mode is the most frequently occurring value, which appears twice here."
DS-E005,data-science,mcq,statistics,easy,"In a right-skewed distribution, how do the mean and median typically compare?",,,They are equal,The mean is greater than the median,The median is greater than the mean,Neither can be computed,B,A long right tail pulls the mean toward the high values while the median stays put.
DS-E006,data-science,mcq,statistics,easy,What does the interquartile range describe?,,,The average deviation,The number of quartiles,The full spread from minimum to maximum,The spread of the middle 50% of the data,D,"IQR is Q3 minus Q1, which is why it is resistant to outliers."
DS-E007,data-science,mcq,probability,easy,"If you flip a fair coin twice, what is the probability of two heads?",,,1.0,0.5,0.25,0.75,C,Independent events multiply: 0.5 x 0.5 = 0.25.
DS-E008,data-science,mcq,probability,easy,What does it mean for two events to be independent?,,,One event occurring does not change the probability of the other,They cannot both occur,They always occur together,They have equal probability,A,"Mutually exclusive events, by contrast, cannot both occur."
DS-E009,data-science,mcq,probability,easy,What must the probabilities of all possible outcomes sum to?,,,0,1,100,The number of outcomes,B,A probability distribution over a complete set of mutually exclusive outcomes sums to one.
DS-E010,data-science,mcq,correlation,easy,What does a correlation coefficient of -0.9 indicate?,,,A strong negative linear relationship,A weak negative relationship,A causal relationship,No relationship,A,The magnitude shows strength and the sign shows direction. Neither shows causation.
DS-E011,data-science,mcq,correlation,easy,Why does correlation not imply causation?,,,Two variables can move together because of a third factor or coincidence,Causation requires negative correlation,It does imply causation,Correlation is always weak,A,Ice cream sales and drownings correlate because both rise in summer.
DS-E012,data-science,mcq,correlation,easy,What is a confounding variable?,,,An outlier in the data,A variable with missing values,A third variable influencing both the supposed cause and effect,A variable with no variance,C,Unmeasured confounders are the main reason observational studies cannot establish causation.
DS-E013,data-science,mcq,visualisation,easy,Which chart is most appropriate for showing the distribution of a single numeric variable?,,,Pie chart,Histogram,Line chart,Scatter plot,B,"A histogram bins the values and shows their shape, spread and skew."
DS-E014,data-science,mcq,visualisation,easy,When is a scatter plot the right choice?,,,Showing the relationship between two numeric variables,Showing parts of a whole,Showing a single value over time only,Showing category counts,A,"It reveals correlation, clusters and outliers between two continuous variables."
DS-E015,data-science,mcq,visualisation,easy,Why is truncating a bar chart's y-axis at a non-zero value misleading?,,,It exaggerates the apparent difference between bars,It hides the labels,Bars become harder to colour,It reverses the ordering,A,"Bar length encodes magnitude, so a truncated axis makes small differences look dramatic."
DS-E016,data-science,mcq,visualisation,easy,Why are pie charts often a poor choice for comparing many categories?,,,"People compare angles poorly, especially across similar slices",They require sorted data,They only support two categories,They cannot use colour,A,"A bar chart uses position and length, which the eye judges far more accurately."
DS-E017,data-science,mcq,data-cleaning,easy,What is an outlier?,,,A value far from the rest of the distribution,A missing value,A duplicated row,A categorical value,A,"Outliers may be errors or genuinely important observations, so investigate before removing."
DS-E018,data-science,mcq,data-cleaning,easy,Why should you investigate outliers rather than delete them automatically?,,,They may be real and important signal rather than errors,Deleting is computationally expensive,Outliers cannot be detected reliably,They never affect results,A,"Fraud, equipment faults and genuine extremes all look like outliers."
DS-E019,data-science,mcq,data-cleaning,easy,What does imputation mean?,,,Scaling numeric columns,Removing rows with missing values,Filling in missing values with estimates,Converting types,C,"Mean, median and model-based imputation are common approaches, each with its own bias."
DS-E020,data-science,mcq,data-cleaning,easy,Why can dropping every row with any missing value be dangerous?,,,It is slow,You may lose most of the data and introduce bias if missingness is not random,It changes the column types,It duplicates rows,B,"If missingness correlates with the outcome, the remaining sample is no longer representative."
DS-E021,data-science,mcq,pandas,easy,What does a DataFrame represent?,,,A two-dimensional labelled table of data,A database connection,A plotting object,A single column of values,A,It is the tabular structure with labelled rows and columns at the centre of pandas.
DS-E022,data-science,code_output,pandas,easy,What does this print?,"import pandas as pd\ndf = pd.DataFrame({'a': [1, 2, 3], 'b': [4, 5, 6]})\nprint(df.shape)",python,"(3,)","(3, 2)","(2, 3)","(6,)",B,"shape is (rows, columns): three rows and two columns."
DS-E023,data-science,code_output,pandas,easy,What does this print?,"import pandas as pd\ns = pd.Series([5, 10, 15])\nprint(s.sum())",python,15,30,10,3,B,5 + 10 + 15 = 30.
DS-E024,data-science,mcq,pandas,easy,What does groupby do?,,,Removes duplicate rows,Joins two tables,Sorts rows by a column,Splits rows into groups so an aggregate can be computed per group,D,"Split, apply, combine: group the rows, compute per group, assemble the results."
