external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
GEN-E001,general,mcq,geography,easy,Which is the largest ocean on Earth?,,,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,A,"The Pacific covers about a third of the Earth's surface, more than all land area combined."
GEN-E002,general,mcq,geography,easy,What is the capital city of Japan?,,,Kyoto,Tokyo,Osaka,Seoul,B,"Tokyo has been Japan's capital since 1868, when the seat of government moved from Kyoto."
GEN-E003,general,mcq,geography,easy,Which is the largest hot desert in the world?,,,The Gobi,The Kalahari,The Sahara,The Thar,C,The Sahara spans roughly 9.2 million square kilometres across North Africa. Antarctica is larger but is a cold desert.
GEN-E004,general,mcq,geography,easy,"Which river flows through the Egyptian capital, Cairo?",,,The Congo,The Niger,The Zambezi,The Nile,D,The Nile runs south to north through Egypt and has supported settlement along its banks for millennia.
GEN-E005,general,mcq,geography,easy,Mount Everest sits on the border between Nepal and which other country?,,,China,India,Bhutan,Pakistan,A,The northern face of Everest lies in the Tibet Autonomous Region of China.
GEN-E006,general,mcq,history,easy,Who was the first President of the United States?,,,Thomas Jefferson,George Washington,Abraham Lincoln,John Adams,B,"Washington took office in 1789 and served two terms, setting the precedent for a peaceful handover of power."
GEN-E007,general,mcq,history,easy,In which year did the Second World War end?,,,1918,1939,1945,1950,C,Germany surrendered in May 1945 and Japan in September 1945. 1939 was the year the war began.
GEN-E008,general,mcq,history,easy,Who led the Salt March of 1930 in India?,,,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Subhas Chandra Bose,Mahatma Gandhi,D,Gandhi walked to Dandi to make salt from seawater in defiance of the British salt tax.
GEN-E009,general,mcq,civics,easy,What is the minimum age to vote in a general election in India?,,,18 years,16 years,21 years,25 years,A,The 61st Amendment lowered the voting age from 21 to 18 in 1988.
GEN-E010,general,mcq,civics,easy,Who is the head of state of India?,,,The Prime Minister,The President,The Chief Justice,The Speaker of the Lok Sabha,B,The President is head of state; the Prime Minister is head of government and leads the executive.
GEN-E011,general,mcq,civics,easy,How many colours appear on the national flag of India?,,,Two,Four,Three,Five,C,"Saffron, white and green, with the navy blue Ashoka Chakra set on the white band."
GEN-E012,general,mcq,sports,easy,How many players does each team field in a football (soccer) match?,,,Nine,Ten,Twelve,Eleven,D,Eleven per side including the goalkeeper. A team reduced below seven cannot continue.
GEN-E013,general,mcq,sports,easy,How often are the Summer Olympic Games held?,,,Every four years,Every two years,Every three years,Every five years,A,"The four-year gap is called an Olympiad. Winter Games are also every four years, offset by two."
GEN-E014,general,mcq,sports,easy,"In cricket, how many legal deliveries make up one over?",,,Four,Six,Five,Eight,B,Six legal balls complete an over. Wides and no-balls do not count towards the six.
GEN-E015,general,mcq,literature,easy,Who wrote the play Romeo and Juliet?,,,Charles Dickens,Jane Austen,William Shakespeare,John Milton,C,Shakespeare wrote the tragedy in the 1590s. It remains one of his most performed plays.
GEN-E016,general,mcq,literature,easy,"Who wrote the Indian national anthem, Jana Gana Mana?",,,Bankim Chandra Chattopadhyay,Sarojini Naidu,Muhammad Iqbal,Rabindranath Tagore,D,"Tagore wrote it in Bengali in 1911. Bankim Chandra wrote Vande Mataram, the national song."
GEN-E017,general,mcq,science awareness,easy,Which gas do plants take in from the air during photosynthesis?,,,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,A,Plants absorb carbon dioxide and release oxygen as a by-product of photosynthesis.
GEN-E018,general,mcq,science awareness,easy,How many planets are there in the Solar System?,,,Seven,Eight,Nine,Ten,B,"Pluto was reclassified as a dwarf planet in 2006, leaving eight planets."
GEN-E019,general,mcq,science awareness,easy,Which organ pumps blood around the human body?,,,The liver,The lungs,The heart,The kidneys,C,The heart is a muscular pump; the lungs oxygenate the blood but do not circulate it.
GEN-E020,general,mcq,reasoning,easy,"Which number comes next in the sequence 2, 4, 6, 8, ...?",,,9,11,12,10,D,"The sequence increases by 2 each step, so the next term is 8 + 2 = 10."
GEN-E021,general,mcq,reasoning,easy,"Which number comes next in the sequence 1, 4, 9, 16, ...?",,,25,20,24,36,A,"These are perfect squares: 1², 2², 3², 4², so the next is 5² = 25."
GEN-E022,general,mcq,general awareness,easy,What is the currency of Japan?,,,The won,The yen,The yuan,The ringgit,B,"The won is South Korean, the yuan Chinese, and the ringgit Malaysian."
GEN-E023,general,mcq,geography,easy,On which continent is Egypt mainly located?,,,Asia,Europe,Africa,South America,C,"Egypt is in North Africa, though the Sinai Peninsula east of the Suez Canal lies in Asia."
GEN-E024,general,mcq,general awareness,easy,How many days are there in a leap year?,,,364,365,367,366,D,A leap year adds 29 February to keep the calendar aligned with the Earth's orbit.
GEN-E025,general,mcq,general awareness,easy,What does WWW stand for in a web address?,,,World Wide Web,World Wireless Web,Wide World Web,Web World Wide,A,Tim Berners-Lee coined the term for the system of linked hypertext documents he invented in 1989.
GEN-M001,general,mcq,geography,medium,Which imaginary line divides the Earth into the Northern and Southern hemispheres?,,,The Tropic of Cancer,The Equator,The Prime Meridian,The Arctic Circle,B,The Equator is at 0° latitude. The Prime Meridian at 0° longitude divides east from west.
